RODADA: 1;hora: 2024-12-01 19:07:53.913880;Rodada: 1;Epsilon: 0.99;Custo: 84211616
RODADA: 2;hora: 2024-12-01 20:11:30.602755;Rodada: 2;Epsilon: 0.98;Custo: 7050297
RODADA: 3;hora: 2024-12-01 20:59:57.565411;Rodada: 3;Epsilon: 0.97;Custo: 1693062
RODADA: 4;hora: 2024-12-01 21:14:49.993871;Rodada: 4;Epsilon: 0.96;Custo: 258366
RODADA: 5;hora: 2024-12-01 21:17:58.347595;Rodada: 5;Epsilon: 0.95;Custo: 295982
RODADA: 6;hora: 2024-12-01 21:21:09.698256;Rodada: 6;Epsilon: 0.94;Custo: 170706
RODADA: 7;hora: 2024-12-01 21:24:14.206392;Rodada: 7;Epsilon: 0.93;Custo: 131951
RODADA: 8;hora: 2024-12-01 21:24:25.519586;Rodada: 8;Epsilon: 0.92;Custo: 123042
RODADA: 9;hora: 2024-12-01 21:24:32.974565;Rodada: 9;Epsilon: 0.91;Custo: 86594
RODADA: 10;hora: 2024-12-01 21:28:05.881926;Rodada: 10;Epsilon: 0.90;Custo: 53846
RODADA: 11;hora: 2024-12-01 21:28:09.254767;Rodada: 11;Epsilon: 0.90;Custo: 59060
RODADA: 12;hora: 2024-12-01 21:28:12.611778;Rodada: 12;Epsilon: 0.89;Custo: 58071
RODADA: 13;hora: 2024-12-01 21:28:16.298848;Rodada: 13;Epsilon: 0.88;Custo: 52483
RODADA: 14;hora: 2024-12-01 21:30:41.751402;Rodada: 14;Epsilon: 0.87;Custo: 43945
RODADA: 15;hora: 2024-12-01 21:30:45.047674;Rodada: 15;Epsilon: 0.86;Custo: 36217
RODADA: 16;hora: 2024-12-01 21:30:48.144324;Rodada: 16;Epsilon: 0.85;Custo: 41068
RODADA: 17;hora: 2024-12-01 21:30:50.959515;Rodada: 17;Epsilon: 0.84;Custo: 34205
RODADA: 18;hora: 2024-12-01 21:30:53.561178;Rodada: 18;Epsilon: 0.83;Custo: 34642
RODADA: 19;hora: 2024-12-01 21:30:55.775711;Rodada: 19;Epsilon: 0.83;Custo: 42987
RODADA: 20;hora: 2024-12-01 21:30:58.855334;Rodada: 20;Epsilon: 0.82;Custo: 33802
RODADA: 21;hora: 2024-12-01 21:33:29.417373;Rodada: 21;Epsilon: 0.81;Custo: 31741
RODADA: 22;hora: 2024-12-01 21:33:31.722563;Rodada: 22;Epsilon: 0.80;Custo: 26915
RODADA: 23;hora: 2024-12-01 21:33:33.797384;Rodada: 23;Epsilon: 0.79;Custo: 25167
RODADA: 24;hora: 2024-12-01 21:33:35.052588;Rodada: 24;Epsilon: 0.79;Custo: 32488
RODADA: 25;hora: 2024-12-01 21:33:36.797530;Rodada: 25;Epsilon: 0.78;Custo: 36821
RODADA: 26;hora: 2024-12-01 21:33:38.891098;Rodada: 26;Epsilon: 0.77;Custo: 27050
RODADA: 27;hora: 2024-12-01 21:33:40.684821;Rodada: 27;Epsilon: 0.76;Custo: 22067
